City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,ca mau,9.1769,105.15,32.26,58,99,2.28,VN,1698036327
118,albardon,-31.4372,-68.5256,20.24,57,61,6.88,AR,1698036328
119,saipan,15.1355,145.701,31.39,74,20,8.23,MP,1698036190
120,hamilton,39.1834,-84.5333,6.65,89,0,1.54,US,1698036329
121,sao raimundo nonato,-9.0153,-42.6994,26.68,51,79,4.05,BR,1698036330
122,svetlyy,54.675,20.1347,12.03,87,100,7.03,RU,1698036330
123,harper,4.375,-7.7169,25.07,89,67,2.69,LR,1698036039
124,hastings,50.8552,0.5729,14.4,50,86,5.56,GB,1698036331
125,kuressaare,58.2481,22.5039,6.64,99,100,2.06,EE,1698036332
126,colonia,50.9333,6.95,10.53,93,0,1.03,DE,1698036220
127,canutama,-6.5339,-64.3831,25.15,78,100,1.34,BR,1698036333
128,natchez,31.5604,-91.4032,18.12,88,0,2.06,US,1698036187
129,bria,6.5423,21.9863,21.4,84,33,0.88,CF,1698036334
130,fortuna,40.5982,-124.1573,14.4,95,100,3.6,US,1698036335
131,hami,42.8,93.45,18.08,19,4,1.53,CN,1698036336
132,benalla,-36.55,145.9833,17.7,54,45,3.65,AU,1698036336
133,kolonia town,6.964,158.206,33.0,66,75,3.6,FM,1698036337
134,ingeniero jacobacci,-41.3427,-69.5448,11.81,74,81,3.75,AR,1698036337
135,port mathurin,-19.6833,63.4167,24.64,79,5,5.4,MU,1698036338
136,olyokminsk,60.3736,120.4264,2.27,67,95,5.64,RU,1698036338
137,sarakhs,36.5449,61.1577,20.68,32,58,1.8,IR,1698036339
138,letterkenny,54.95,-7.7333,6.7,92,100,1.5,IE,1698036339
139,suva,-18.1416,178.4415,24.71,83,75,3.09,FJ,1698036193
140,kapuskasing,49.4169,-82.4331,-1.0,86,20,2.06,CA,1698036341
141,shanwei,22.782,115.3475,27.04,67,48,2.66,CN,1698036341
142,revda,56.801,59.9303,-1.48,73,100,5.84,RU,1698036342
